importer,exporter,isic4_2,date_eff,tariffs,importsvaluein1000usd,affected_trade_value,affected_trade_share,affected_hs6tariff_line_share
Cambodia,Brazil,27,1/1/25,11.41955274199633,82.38566972267316,4.504347586580087,5.467392086199741,11.76470588235294
Cambodia,Brazil,27,4/4/25,11.41955274199633,82.38566972267317,4.504347586580086,5.467392086199738,11.76470588235294
Cambodia,Brazil,28,1/1/25,6.000790630783501,254.5690669943251,22.07165844155844,8.670204397634244,14.81481481481481
Cambodia,Brazil,28,4/4/25,6.000790630783505,254.5690669943251,22.07165844155844,8.670204397634244,14.81481481481481
Cambodia,Brazil,29,1/1/25,14.58000064104141,35.11219958513708,1.605628282828283,4.572850182555757,9.433962264150944
Cambodia,Brazil,29,4/4/25,14.58000064104141,35.11219958513709,1.605628282828283,4.572850182555759,9.433962264150944
Cambodia,Brazil,30,1/1/25,13.48389951448648,84.02864289710291,7.583951060606061,9.025435612345865,15.94202898550724
Cambodia,Brazil,30,4/4/25,13.48389951448648,84.0286428971029,7.58395106060606,9.025435612345865,15.94202898550724
Cambodia,Brazil,31,1/1/25,14.38682690830213,7.066237222222222,.5379005555555556,7.612262915034066,21.05263157894737
Cambodia,Brazil,31,4/4/25,14.38682690830213,7.066237222222222,.5379005555555556,7.612262915034066,21.05263157894737
Cambodia,Brazil,32,1/1/25,11.26943792865513,97.90266950091575,36.96506583333334,37.75695394392447,17.5438596491228
Cambodia,Brazil,32,4/4/25,11.26943792865513,97.90266950091572,36.96506583333334,37.75695394392447,17.5438596491228
Cambodia,Brazil,33,1/1/25,6.043895249069987,1184.869302358232,34.63199172438673,2.922853318544003,13.63636363636363
Cambodia,Brazil,33,4/4/25,6.043895249069994,1184.869302358232,34.63199172438672,2.922853318544001,13.63636363636363
Cambodia,Brazil,35,1/1/25,12.69180771349649,1129.588528571428,0,0,0
Cambodia,Brazil,35,4/4/25,12.69180771349648,1129.588528571429,0,0,0
Cambodia,Brazil,38,1/1/25,5.193478533338618,1595.570258333334,1.46175,.0916130137401084,16.66666666666666
Cambodia,Brazil,38,4/4/25,5.193478533338619,1595.570258333333,1.46175,.0916130137401084,16.66666666666666
Cambodia,Brazil,58,1/1/25,7.000000000000001,7.269714285714285,0,0,0
Cambodia,Brazil,58,4/4/25,7.000000000000001,7.269714285714285,0,0,0
Cambodia,Brazil,59,1/1/25,7.087078214896597,2.756142857142856,0,0,0
Cambodia,Brazil,59,4/4/25,7.087078214896597,2.756142857142856,0,0,0
Cambodia,Brazil,80,1/1/25,10.7559707956936,.0631328125,0,0,0
Cambodia,Brazil,80,4/4/25,10.7559707956936,.0631328125,0,0,0
Cambodia,Brazil,81,1/1/25,7.084031277997525,594.779125,0,0,0
Cambodia,Brazil,81,4/4/25,7.084031277997525,594.779125,0,0,0
Cambodia,Brazil,95,1/1/25,14.80593085218998,5.716394097222222,.0381805555555556,.6679132842521949,13.33333333333333
Cambodia,Brazil,95,4/4/25,14.80593085218998,5.716394097222222,.0381805555555556,.6679132842521949,13.33333333333333
Cambodia,British Virgin Islands,11,,35,1.878,0,0,0
Cambodia,Brunei,01,1/1/25,7.000000000000001,.2211571428571429,.2211571428571429,100,100
Cambodia,Brunei,01,4/4/25,7.000000000000001,.2211571428571429,.2211571428571429,100,100
Cambodia,Brunei,02,1/1/25,7.000000000000001,.0311511904761905,.0311511904761905,100,100
Cambodia,Brunei,02,4/4/25,7.000000000000001,.0311511904761905,.0311511904761905,100,100
Cambodia,Brunei,03,1/1/25,7.000000000000001,.0114166666666667,.0114166666666667,100,100
Cambodia,Brunei,03,4/4/25,7.000000000000001,.0114166666666667,.0114166666666667,100,100
Cambodia,Brunei,11,1/1/25,7.000000000000001,.003425,.003425,100,100
Cambodia,Brunei,11,4/4/25,7.000000000000001,.003425,.003425,100,100
Cambodia,Brunei,20,1/1/25,0,14516.35575,0,0,0
Cambodia,Brunei,20,4/4/25,0,14516.35575,0,0,0
Cambodia,Brunei,38,1/1/25,0,4838.78525,0,0,0
Cambodia,Brunei,38,4/4/25,0,4838.78525,0,0,0
Cambodia,Brunei,81,1/1/25,7.000000000000001,.00685,.00685,100,100
Cambodia,Brunei,81,4/4/25,7.000000000000001,.00685,.00685,100,100
Cambodia,Bulgaria,01,1/1/25,5.322823214122798,61.90932678571429,0,0,0
Cambodia,Bulgaria,01,4/4/25,5.326209119275113,62.08211964285715,0,0,0
